file,text
pul.mp3,पुल
gud.mp3,गुड़
sukh.mp3,सुख
chup.mp3,चुप
tum.mp3,तुम
madhu.mp3,मधु
sui.mp3,सुई
kutta.mp3,कुत्ता
gulab.mp3,गुलाब
subah.mp3,सुबह
dukan.mp3,दुकान
mukut.mp3,मुकुट
gudiya.mp3,गुड़िया
jamun.mp3,जामुन
bulbul.mp3,बुलबुल
kursi.mp3,कुर्सी
pustak.mp3,पुस्तक
chuhiya.mp3,चुहिया
murli.mp3,मुरली
budhiya.mp3,बुढ़िया
surahi.mp3,सुराही
kulhadi.mp3,कुल्हाड़ी
phool.mp3,फूल
jhoola.mp3,झूला
doodh.mp3,दूध
sooraj.mp3,सूरज
mooli.mp3,मूली
chooha.mp3,चूहा
joota.mp3,जूता
bhaloo.mp3,भालू
kabootar.mp3,कबूतर
aaloo.mp3,आलू
chaakoo.mp3,चाकू
dhoop.mp3,धूप
choodi.mp3,चूड़ी
jhooth.mp3,झूठ
pooja.mp3,पूजा
kooda.mp3,कूड़ा
bhookh.mp3,भूख
angoor.mp3,अंगूर
tarbooj.mp3,तरबूज
neemboo.mp3,नींबू
kaaju.mp3,काजू
taraaju.mp3,तराजू
lattoo.mp3,लट्टू
bandook.mp3,बंदूक
goal_u.mp3,छोटी उ की मात्रा वाले शब्द चुनो
goal_uu.mp3,बड़ी ऊ की मात्रा वाले शब्द चुनो
right.mp3,शाबाश
wrong.mp3,फिर से देखो
correct_is.mp3,सही शब्द है
level_up.mp3,बहुत बढ़िया
retry.mp3,कोई बात नहीं, फिर से कोशिश करो
win.mp3,शाबाश, सारे द्वार पार हो गए
